Note,Velocity,time,acc_time
60,64,0,25.199999999999992
48,64,0,25.199999999999992
53,64,0,25.199999999999992
57,0,0.8525,26.05249999999999
60,0,0,26.05249999999999
57,64,0.0475,26.09999999999999
60,64,0,26.09999999999999
48,0,0.23750000000000002,26.33749999999999
53,0,0,26.33749999999999
57,0,0.045,26.382499999999993
60,0,0,26.382499999999993
57,64,0.0175,26.39999999999999
60,64,0,26.39999999999999
45,64,0,26.39999999999999
52,64,0,26.39999999999999
45,0,1.1375,27.53749999999999
52,0,0,27.53749999999999
48,64,0.0625,27.59999999999999
53,64,0,27.59999999999999
57,0,1.0775000000000001,28.67749999999999
60,0,0,28.67749999999999
48,0,0.06,28.73749999999999
53,0,0,28.73749999999999
60,96,0.0625,28.79999999999999
69,96,0,28.79999999999999
45,96,0,28.79999999999999
52,96,0,28.79999999999999
69,0,0.5675,29.36749999999999
67,96,0.0325,29.399999999999988
45,0,0.5375,29.93749999999999
52,0,0,29.93749999999999
67,0,0.03,29.96749999999999
65,96,0.0325,29.99999999999999
48,96,0,29.99999999999999
53,96,0,29.99999999999999
65,0,0.8525,30.85249999999999
64,96,0.0475,30.899999999999988
60,0,0.1775,31.077499999999986
48,0,0.06,31.137499999999985
53,0,0,31.137499999999985
64,0,0.045,31.182499999999987
60,96,0.0175,31.199999999999985
64,96,0,31.199999999999985
45,96,0,31.199999999999985
52,96,0,31.199999999999985
45,0,1.1375,32.337499999999984
52,0,0,32.337499999999984
48,96,0.0625,32.399999999999984
53,96,0,32.399999999999984
60,0,1.0775000000000001,33.477499999999985
64,0,0,33.477499999999985
48,0,0.06,33.53749999999999
53,0,0,33.53749999999999
60,96,0.0625,33.59999999999999
69,96,0,33.59999999999999
45,96,0,33.59999999999999
52,96,0,33.59999999999999
69,0,0.5675,34.16749999999999
67,96,0.0325,34.19999999999999
45,0,0.5375,34.73749999999999
52,0,0,34.73749999999999
67,0,0.03,34.76749999999999
65,96,0.0325,34.79999999999999
48,96,0,34.79999999999999
53,96,0,34.79999999999999
65,0,0.8525,35.65249999999999
